77 hits shown

3,29,-506
1091,-25,28,-509
1092,-25,29,-512
1094,-24,29,-509
1096,-27,30,-512
1098,-22,26,-511
1100,-26,28,-508
1102,-24,29,-511
1104,-24,31,-513
1105,-24,27,-514
1107,-25,28,-509
1110,-22,26,-509
1112,-26,26,-510
1114,-24,29,-514
1116,-25,27,-509
1118,-24,29,-510
1120,-25,28,-508
1121,-23,31,-510
1123,-26,27,-513
1125,-24,30,-512
1127,-25,29,-510
1129,-23,26,-506
1131,-23,29,-511
1133,-21,29,-508
1135,-27,30,-511
1136,-25,28,-510
1138,-25,30,-510
1140,-23,27,-509
1142,-26,28,-510
1144,-25,29,-512
1146,-24,27,-513
1148,-26,27,-507
1150,-21,28,-507
1152,-25,28,-511
1154,-25,27,-509
1156,-22,27,-511
1158,-25,28,-508
1160,-25,28,-510
1162,-25,28,-510
1164,-25,27,-509
1165,-24,27,-511
1167,-26,25,-509
1169,-25,29,-511
1171,-23,32,-511
1173,-21,29,-513
1175,-22,29,-510
1177,-23,27,-507
1179,-22,27,-510
1180,-23,28,-511
1182,-22,27,-509
1184,-25,28,-509
1186,-26,29,-510
1188,-25,29,-509
1190,-24,29,-511
1192,-24,26,-513
1195,-25,28,-511
1196,-25,28,-510
1198,-23,30,-508
1200,-25,30,-509
1202,-24,28,-511
1204,-23,27,-507
1206,-23,25,-510
1208,-22,32,-510
1210,-25,26,-509
1211,-25,27,-512
1213,-23,26,-512
1215,-25,30,-507
1217,-25,30,-511
1219,-29,30,-513
1221,-23,28,-510
1223,-24,26,-508
1224,-24,29,-507
1226,-25,28,-512
1228,-23,28,-510
1230,-24,25,-510
1232,-23,28,-511
1234,-23,23,-508
1236,-23,29,-511
1239,-21,27,-510
1240,-24,25,-510
1242,-25,28,-510
1244,-25,27,-513
1246,-24,28,-505
1248,-23,28,-511
1250,-24,31,-509
1252,-24,29,-509
1254,-24,28,-510
1255,-24,28,-511
1257,-26,27,-506
1259,-22,27,-507
1261,-25,28,-510
1263,-25,28,-508
1265,-22,25,-510
1267,-25,30,-508
1269,-24,29,-512
1270,-25,28,-509
1272,-23,28,-507
1274,-24,30,-510
1276,-25,27,-509
1278,-22,31,-510
1281,-24,27,-507
1283,-25,28,-512
1284,-28,30,-510
1286,-25,25,-511
1288,-27,27,-512
1290,-24,27,-511
1292,-22,28,-512
1294,-21,26,-509
1296,-25,26,-513
1298,-25,26,-507
1299,-24,27,-510
1301,-22,26,-510
1303,-24,30,-511
1305,-25,26,-511
1307,-22,28,-504
1309,-23,28,-511
1311,-24,29,-510
1313,-26,28,-511
1314,-26,28,-511
1316,-22,28,-510
1318,-23,28,-510
1320,-23,27,-511
1323,-24,28,-509
1325,-24,29,-511
1327,-26,28,-510
1329,-24,28,-509
1330,-24,27,-511
1332,-27,29,-511
1334,-22,26,-511
1336,-26,28,-508
1338,-25,27,-511
1340,-25,27,-508
1342,-27,29,-514
1343,-25,28,-506
1345,-25,29,-513
1347,-23,27,-512
1349,-22,27,-507
1351,-25,27,-508
1353,-24,32,-510
1355,-23,28,-508
1357,-25,29,-510
1358,-23,30,-510
1360,-25,27,-511
1362,-24,26,-512
1364,-24,26,-509
1367,-24,29,-510
1369,-25,30,-510
1371,-23,25,-510
1373,-24,29,-511
1374,-23,25,-510
1376,-24,30,-512
1378,-22,26,-513
1380,-26,29,-514
1382,-24,26,-510
1384,-26,30,-511
1386,-26,33,-513
1387,-22,28,-512
1389,-25,29,-509
1391,-23,27,-509
1393,-25,28,-509
1395,-22,26,-510
1397,-24,28,-512
1399,-25,30,-510
1401,-25,28,-512
1402,-26,30,-509
1404,-25,28,-511
1406,-24,28,-508
1409,-23,30,-512
1411,-24,29,-511
1413,-24,29,-512
1415,-25,28,-510
1417,-25,29,-508
1418,-25,27,-511
1420,-26,29,-508
1422,-23,29,-509
1424,-21,29,-510
1426,-22,28,-511
1428,-24,28,-511
1430,-23,30,-511
1431,-24,29,-508
1433,-25,28,-513
1435,-26,30,-512
1437,-28,26,-510
1439,-27,26,-510
1441,-23,27,-511
1443,-25,29,-510
1445,-26,30,-507
1446,-24,28,-509
1448,-24,28,-510
1451,-24,29,-512
1453,-25,29,-512
1455,-24,29,-508
1457,-25,30,-510
1459,-25,28,-509
1461,-23,27,-509
1462,-22,28,-509
1464,-27,27,-510
1466,-25,27,-509
1468,-24,29,-512
1470,-23,28,-511
1472,-24,29,-510
1474,-23,28,-513
1475,-24,28,-509
1477,-26,25,-508
1479,-23,30,-508
1481,-24,27,-510
1483,-24,26,-511
1485,-27,28,-510
1487,-22,27,-510
1489,-22,27,-510
1490,-22,28,-509
1492,-22,28,-509
1495,-26,28,-509
1497,-26,31,-510
1499,-23,26,-510
1501,-25,27,-511
1503,-25,29,-510
1505,-24,27,-510
1506,-25,31,-511
1508,-23,26,-509
1510,-25,29,-509
1512,-25,28,-510
1514,-24,26,-512
1516,-23,29,-508
1518,-26,28,-513
1520,-24,28,-513
1521,-22,25,-511
1523,-25,27,-505
1525,-24,29,-509
1527,-23,28,-510
1529,-23,28,-510
1531,-21,33,-511
1533,-24,30,-510
1536,-24,29,-511
1537,-23,27,-510
1539,-24,27,-512
1541,-23,32,-510
1543,-25,31,-510
1545,-22,29,-510
1547,-21,26,-512
1549,-23,27,-510
1550,-24,27,-510
1552,-25,26,-511
1554,-24,30,-512
1556,-24,26,-509
1558,-25,28,-512
1560,-26,30,-512
1562,-24,28,-510
1564,-23,26,-508
1565,-27,26,-509
1567,-24,28,-511
1569,-24,30,-509
1571,-24,28,-509
1573,-25,25,-508
1575,-24,28,-508
1577,-21,25,-508
1580,-25,28,-510
1581,-26,29,-510
1583,-24,27,-514
1585,-25,28,-511
1587,-23,27,-512
1589,-22,26,-509
1591,-23,27,-509
1593,-24,25,-509
1595,-23,28,-512
1596,-23,27,-511
1598,-25,26,-511
1600,-23,26,-509
1602,-26,27,-510
1604,-23,28,-511
1606,-25,29,-510
1608,-25,29,-513
1609,-26,27,-510
1611,-26,28,-508
1613,-25,27,-509
1615,-24,28,-511
1617,-21,28,-510
1619,-24,29,-510
1622,-24,29,-511
1624,-23,26,-509
1625,-22,29,-509
1627,-23,27,-512
1629,-24,30,-511
1631,-24,27,-508
1633,-22,30,-510
1635,-26,31,-510
1637,-26,27,-508
1639,-24,27,-513
1640,-28,29,-511
1642,-24,26,-511
1644,-20,28,-511
1646,-23,27,-510
1648,-24,26,-511
1650,-25,30,-508
1652,-23,27,-509
1654,-23,29,-513
1655,-23,27,-511
1657,-23,30,-510
1659,-25,29,-510
1661,-24,27,-512
1664,-22,28,-511
1666,-25,27,-512
1668,-25,26,-509
1669,-24,25,-509
1671,-21,27,-511
1673,-22,28,-509
1675,-22,28,-510
1677,-23,30,-509
1679,-25,26,-512
1681,-25,27,-513
1683,-27,30,-509
1684,-22,27,-510
1686,-24,26,-511
1688,-23,31,-506
1690,-26,29,-510
1692,-24,28,-512
1694,-25,29,-509
1696,-24,29,-511
1698,-24,29,-510
1699,-23,27,-510
1701,-27,25,-511
1703,-25,27,-512
1705,-23,25,-509
1708,-25,27,-511
1710,-24,31,-511
1712,-25,30,-509
1713,-25,33,-511
1715,-23,26,-510
1717,-25,27,-510
1719,-24,30,-512
1721,-26,27,-510
1723,-23,30,-512
1725,-23,27,-512
1727,-24,26,-511
1728,-25,26,-508
1730,-26,27,-510
1732,-24,29,-506
1734,-25,28,-510
1736,-25,26,-510
1738,-25,28,-511
1740,-22,27,-510
1742,-23,25,-509
1743,-23,29,-507
1745,-25,26,-510
1747,-25,28,-513
1750,-25,31,-510
1752,-24,29,-508
1754,-23,28,-510
1756,-24,29,-510
1757,-29,28,-510
1759,-23,27,-509
1761,-20,28,-509
1763,-25,27,-511
1765,-23,27,-511
1767,-24,26,-511
1769,-24,28,-512
1771,-24,28,-511
1772,-25,30,-509
1774,-23,30,-511
1776,-24,26,-509
